,id,latitude,longitude,altitude,date,time
0,135,39.974294,116.399741,492,2009/1/3,1:21:34
1,135,39.974292,116.399592,492,2009/1/3,1:21:35
2,135,39.974309,116.399523,492,2009/1/3,1:21:36
3,135,39.97432,116.399588,492,2009/1/3,1:21:38
4,135,39.974365,116.39973,491,2009/1/3,1:21:39
5,135,39.974391,116.399782,491,2009/1/3,1:21:42
6,135,39.974426,116.399735,491,2009/1/3,1:21:46
7,135,39.974458,116.3997,491,2009/1/3,1:21:51
8,135,39.974491,116.399732,490,2009/1/3,1:21:56
9,135,39.97453,116.399758,489,2009/1/3,1:22:01
10,135,39.974577,116.399745,490,2009/1/3,1:22:04
11,135,39.974623,116.399731,491,2009/1/3,1:22:07
12,135,39.974666,116.399713,491,2009/1/3,1:22:10
13,135,39.9747,116.399755,491,2009/1/3,1:22:13
14,135,39.974732,116.399838,491,2009/1/3,1:22:17
15,135,39.97473,116.399909,491,2009/1/3,1:22:18
16,135,39.974728,116.399982,491,2009/1/3,1:22:19
17,135,39.974731,116.400052,491,2009/1/3,1:22:21
18,135,39.97473,116.400143,491,2009/1/3,1:22:22
19,135,39.974737,116.400205,491,2009/1/3,1:22:24
20,135,39.974742,116.400264,491,2009/1/3,1:22:26
21,135,39.974747,116.400332,492,2009/1/3,1:22:29
22,135,39.974616,116.398937,335,2009/1/3,1:22:34
23,135,39.974632,116.399029,334,2009/1/3,1:22:35
24,135,39.974632,116.399029,334,2009/1/3,1:22:38
25,135,39.974635,116.399025,322,2009/1/3,1:22:40
26,135,39.974596,116.399077,315,2009/1/3,1:22:44
27,135,39.974551,116.399123,309,2009/1/3,1:22:47
28,135,39.974503,116.399165,302,2009/1/3,1:22:50
29,135,39.974478,116.399217,297,2009/1/3,1:22:53
30,135,39.974476,116.399282,294,2009/1/3,1:22:57
31,135,39.974497,116.399358,288,2009/1/3,1:22:59
32,135,39.974533,116.399454,282,2009/1/3,1:23:00
33,135,39.974562,116.399531,277,2009/1/3,1:23:01
34,135,39.974584,116.399586,272,2009/1/3,1:23:03
35,135,39.974617,116.399645,269,2009/1/3,1:23:05
36,135,39.974632,116.399729,263,2009/1/3,1:23:08
37,135,39.974627,116.399793,258,2009/1/3,1:23:12
38,135,39.974639,116.39986,253,2009/1/3,1:23:15
39,135,39.974655,116.399918,251,2009/1/3,1:23:19
40,135,39.974669,116.399979,249,2009/1/3,1:23:23
41,135,39.974688,116.40004,244,2009/1/3,1:23:27
42,135,39.974706,116.40012,243,2009/1/3,1:23:31
43,135,39.974654,116.400199,239,2009/1/3,1:23:34
44,135,39.974625,116.400269,238,2009/1/3,1:23:38
45,135,39.974615,116.40033,234,2009/1/3,1:23:41
46,135,39.974612,116.400391,234,2009/1/3,1:23:44
47,135,39.97461,116.400447,240,2009/1/3,1:23:49
48,135,39.97463,116.400468,246,2009/1/3,1:23:54
49,135,39.974665,116.400442,248,2009/1/3,1:23:59
50,135,39.9747,116.400418,253,2009/1/3,1:24:04
51,135,39.974724,116.40035,255,2009/1/3,1:24:08
52,135,39.974765,116.400311,256,2009/1/3,1:24:10
53,135,39.974853,116.400306,255,2009/1/3,1:24:11
54,135,39.974908,116.400325,252,2009/1/3,1:24:13
55,135,39.974908,116.400325,252,2009/1/3,1:24:16
56,135,39.974915,116.400331,239,2009/1/3,1:24:18
57,135,39.974919,116.400244,231,2009/1/3,1:24:22
58,135,39.974932,116.400186,227,2009/1/3,1:24:25
59,135,39.974938,116.400113,223,2009/1/3,1:24:29
60,135,39.974935,116.400043,222,2009/1/3,1:24:32
61,135,39.974934,116.399982,220,2009/1/3,1:24:35
62,135,39.974933,116.399907,216,2009/1/3,1:24:39
63,135,39.974925,116.39983,214,2009/1/3,1:24:43
64,135,39.974929,116.399762,214,2009/1/3,1:24:46
65,135,39.974934,116.399697,212,2009/1/3,1:24:50
66,135,39.97493,116.399621,210,2009/1/3,1:24:53
67,135,39.974931,116.39955,209,2009/1/3,1:24:56
68,135,39.974935,116.399478,210,2009/1/3,1:25:00
69,135,39.974929,116.399412,209,2009/1/3,1:25:04
70,135,39.974933,116.399336,213,2009/1/3,1:25:09
71,135,39.974937,116.399271,211,2009/1/3,1:25:12
72,135,39.974926,116.399205,212,2009/1/3,1:25:15
73,135,39.97493,116.39913,213,2009/1/3,1:25:19
74,135,39.974933,116.399063,213,2009/1/3,1:25:24
75,135,39.974936,116.398996,213,2009/1/3,1:25:28
76,135,39.97494,116.398917,212,2009/1/3,1:25:32
77,135,39.974931,116.398851,207,2009/1/3,1:25:36
78,135,39.974936,116.398782,205,2009/1/3,1:25:40
79,135,39.974939,116.398724,210,2009/1/3,1:25:44
80,135,39.974941,116.398665,209,2009/1/3,1:25:46
81,135,39.974935,116.398606,213,2009/1/3,1:25:49
82,135,39.974939,116.398539,218,2009/1/3,1:25:53
